method_name,degradation_type,severity,parameter,parameter_value,num_samples,top1_accuracy,top5_accuracy,overall_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,inference_time_seconds,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop
hog_random_forest,gaussian_noise,3,sigma,0.06,5000,0.0086,0.0384,0.0086,0.008600000000000002,0.005165170041038759,0.008600000000000002,0.004711649634495815,41.28825441698427,0.0132,0.008393324228811136,0.0046,0.0036816745943153203
hog_random_forest,gaussian_noise,4,sigma,0.08,5000,0.0074,0.0292,0.0074,0.0074,0.006902013096407055,0.0074,0.0035037088447357236,28.794212040986167,0.0132,0.008393324228811136,0.0058,0.004889615384075412
hog_random_forest,gaussian_noise,5,sigma,0.1,5000,0.006,0.0268,0.006,0.006,0.002840405233694668,0.006,0.002609603779536669,33.969948000012664,0.0132,0.008393324228811136,0.0072,0.005783720449274467
resnet18_pretrained_finetuned,gaussian_noise,1,sigma,0.02,5000,0.659,0.8554,0.659,0.659,0.6811173267908561,0.659,0.6589576906293928,65.21269262500573,0.6624,0.6620301298160315,0.0033999999999999586,0.003072439186638687
resnet18_pretrained_finetuned,gaussian_noise,2,sigma,0.04,5000,0.63,0.836,0.63,0.63,0.6635860624131855,0.63,0.6308167984649085,66.03403154198895,0.6624,0.6620301298160315,0.032399999999999984,0.03121333135112303
resnet18_pretrained_finetuned,gaussian_noise,3,sigma,0.06,5000,0.5808,0.7974,0.5808,0.5808,0.6367180153600309,0.5808,0.5828154500333546,69.0441584159853,0.6624,0.6620301298160315,0.0816,0.07921467978267693
resnet18_pretrained_finetuned,gaussian_noise,4,sigma,0.08,5000,0.516,0.75,0.516,0.516,0.5969876991340365,0.516,0.5184282263973697,66.53932583399,0.6624,0.6620301298160315,0.14639999999999997,0.14360190341866175
resnet18_pretrained_finetuned,gaussian_noise,5,sigma,0.1,5000,0.4424,0.6834,0.4424,0.44239999999999996,0.549604252838059,0.44239999999999996,0.44650723409354304,68.52863591702771,0.6624,0.6620301298160315,0.21999999999999997,0.21552289572248845
resnet18_scratch_basic_aug_sgd,gaussian_noise,1,sigma,0.02,5000,0.3762,0.6126,0.3762,0.3762,0.39037337180363496,0.3762,0.3722564942671495,45.64852445901488,0.3794,0.37511498506033875,0.003200000000000036,0.002858490793189228
resnet18_scratch_basic_aug_sgd,gaussian_noise,2,sigma,0.04,5000,0.3672,0.6044,0.3672,0.36719999999999997,0.38051286148492036,0.36719999999999997,0.361397481886156,48.32067441698746,0.3794,0.37511498506033875,0.012199999999999989,0.013717503174182744
resnet18_scratch_basic_aug_sgd,gaussian_noise,3,sigma,0.06,5000,0.3476,0.5782,0.3476,0.34759999999999996,0.36662643500178493,0.34759999999999996,0.34128332696463454,50.35561979198246,0.3794,0.37511498506033875,0.031799999999999995,0.03383165809570421
resnet18_scratch_basic_aug_sgd,gaussian_noise,4,sigma,0.08,5000,0.3194,0.5416,0.3194,0.31939999999999996,0.35678669530359414,0.31939999999999996,0.3137972362042139,51.064125832985155,0.3794,0.37511498506033875,0.06,0.06131774885612484
resnet18_scratch_basic_aug_sgd,gaussian_noise,5,sigma,0.1,5000,0.277,0.4942,0.277,0.277,0.33266857440369285,0.277,0.27274971163514405,50.64758933300618,0.3794,0.37511498506033875,0.10239999999999999,0.10236527342519469
sift_bovw_svm,gaussian_noise,1,sigma,0.02,5000,0.029,0.0832,0.029,0.029,0.01999510486743437,0.029,0.021890964965521308,97.81342391701764,0.0318,0.025116982298457366,0.0028000000000000004,0.0032260173329360584
sift_bovw_svm,gaussian_noise,2,sigma,0.04,5000,0.0344,0.087,0.0344,0.0344,0.02558452550820414,0.0344,0.026357546874836803,95.48198212499847,0.0318,0.025116982298457366,-0.002599999999999998,-0.0012405645763794368
sift_bovw_svm,gaussian_noise,3,sigma,0.06,5000,0.0298,0.0868,0.0298,0.029800000000000004,0.021891390777153966,0.029800000000000004,0.023074978649191266,164.39055224999902,0.0318,0.025116982298457366,0.0020000000000000018,0.0020420036492661
